image_path,split_original,horse_id,face_region,face_region_code,pain_score,pain_label,binary_pain_label,source_filename,source_file_id,source_sha256,width,height,mode,is_valid,corruption_error,exported_sha256
data/raw/train_raw/02039_1ff7d92a-c0a_M2_A2__5_.jpg,train_raw,M2,ears,A,2,obviously_present,pain,M2_A2 (5).jpg,1ff7d92a-c0af-4e23-a8e6-2664130a9a58,0352eba90decb064f99dc3f66bfadce7001f60369e14efe98333610cb2685b56,187,319,RGB,True,,0215dda1ee503b908b24fbabd759a0abff688377a0c658ce99511838752b0218
data/raw/train_raw/01851_0e507a1a-ca4_M2_A0__206_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (206).jpg,0e507a1a-ca45-4018-80fa-6036282650d0,670464d5ca0f7d7c90079d59eef037e9a9cb84bc85c3bc6c8be515d80ad221c5,202,252,RGB,True,,023766ce435b9c0f26703fa1ac644729380f7b320739277bf68fdd753b0abf83
data/raw/train_raw/01852_e62aeb3d-36b_M2_A0__207_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (207).jpg,e62aeb3d-36b4-46b4-b644-00c71de4a15f,670464d5ca0f7d7c90079d59eef037e9a9cb84bc85c3bc6c8be515d80ad221c5,202,252,RGB,True,,023766ce435b9c0f26703fa1ac644729380f7b320739277bf68fdd753b0abf83
data/raw/train_raw/01038_fbc898bc-25d_M1_B1__30_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (30).jpg,fbc898bc-25d0-4b0c-a74a-72acdf0c6466,53ff04c87be9ae36571cfe87930ade89f735c572d4ddbe2922aadfdc72a9250b,75,111,RGB,True,,028ca129007f45fdb623490d8d7d6720b85a0f5cbb41a8d795efb826c71c58d7
data/raw/train_raw/01039_3586baad-ceb_M1_B1__31_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (31).jpg,3586baad-ceb8-4bb0-b6de-2ddd5bd2b185,53ff04c87be9ae36571cfe87930ade89f735c572d4ddbe2922aadfdc72a9250b,75,111,RGB,True,,028ca129007f45fdb623490d8d7d6720b85a0f5cbb41a8d795efb826c71c58d7
data/raw/train_raw/00107_d02860af-338_M1_A0__196_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (196).jpg,d02860af-3388-4504-b942-8e0856be32c8,fa629ae77335975d5f4c7cb1e0578ce67c1fa8b92135ddb913070cdb52e72e2e,174,263,RGB,True,,03084ce171fe81251a63242817ba9a0b21ce31f8d00a94f945b70e3e098b3343
data/raw/train_raw/00108_a0085dd7-f2b_M1_A0__197_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (197).jpg,a0085dd7-f2b1-4d5f-884a-d74c04bb9ee7,fa629ae77335975d5f4c7cb1e0578ce67c1fa8b92135ddb913070cdb52e72e2e,174,263,RGB,True,,03084ce171fe81251a63242817ba9a0b21ce31f8d00a94f945b70e3e098b3343
data/raw/train_raw/01139_67046bce-03b_M1_B2__20_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (20).jpg,67046bce-03b6-40ed-8d55-12e18eabe0e2,d612e0bdd570b8975137d9e7d473fadb002c7bd80fabe079433c1e684e0fcc3e,138,189,RGB,True,,037c7b7f6a510c373752e733af5f330fbe5c7597d6a3ff00749c473a7442ae58
data/raw/train_raw/01140_33a37fcc-f86_M1_B2__21_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (21).jpg,33a37fcc-f861-44b1-9344-791bcd3fce9f,d612e0bdd570b8975137d9e7d473fadb002c7bd80fabe079433c1e684e0fcc3e,138,189,RGB,True,,037c7b7f6a510c373752e733af5f330fbe5c7597d6a3ff00749c473a7442ae58
data/raw/train_raw/01160_b64f6bf6-a37_M1_B2__4_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (4).jpg,b64f6bf6-a37a-40b2-9e63-677ce185a787,c4c0e99396a3b545cb7effc9ef2648f88102302442d03238eb07348bc2306ed8,107,158,RGB,True,,0383df9d45dfa695fd88121dde7cd3b681346c2acc66f1b0ba76de17adac481a
data/raw/train_raw/01171_50de62c1-cb6_M1_B2__5_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (5).jpg,50de62c1-cb67-469f-bdc3-63b8d002160a,c4c0e99396a3b545cb7effc9ef2648f88102302442d03238eb07348bc2306ed8,107,158,RGB,True,,0383df9d45dfa695fd88121dde7cd3b681346c2acc66f1b0ba76de17adac481a
data/raw/train_raw/00409_9db3215d-a76_M1_A0__468_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (468).jpg,9db3215d-a76a-4097-8634-5ca0a4463494,4bd7617424734b8c76281b5c3d5a408ea37cbb3e3c98b4082a96dfae40ba426a,193,285,RGB,True,,0398ec9f333a673fbbc650c54c3980005ca8099b7954cdbffb02b0404cac37c6
data/raw/train_raw/00410_a222c99e-721_M1_A0__469_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (469).jpg,a222c99e-721b-4c4e-b077-a0f6b3cdda27,4bd7617424734b8c76281b5c3d5a408ea37cbb3e3c98b4082a96dfae40ba426a,193,285,RGB,True,,0398ec9f333a673fbbc650c54c3980005ca8099b7954cdbffb02b0404cac37c6
data/raw/train_raw/00949_24de86df-511_M1_B1__114_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (114).jpg,24de86df-5113-495b-bcbb-3f8bdddd96f8,836af8cfd500cc43db544c7462f23829a0728e203bc8cbb899157bfd6c772b66,102,155,RGB,True,,03ff544c2d664cb4bf44dc2f18a33cd8d44f7fcbfe26e7c267aadf5d35939c20
data/raw/train_raw/00950_15e4a36a-d80_M1_B1__115_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (115).jpg,15e4a36a-d803-4c9f-adab-23cf24328ccb,836af8cfd500cc43db544c7462f23829a0728e203bc8cbb899157bfd6c772b66,102,155,RGB,True,,03ff544c2d664cb4bf44dc2f18a33cd8d44f7fcbfe26e7c267aadf5d35939c20
data/raw/train_raw/01154_732986dc-4d2_M1_B2__34_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (34).jpg,732986dc-4d2a-48bc-8c8e-eef08f479643,93e722b581fabc9166f8fc2790a4003e33a28c9c6f64c4425213957fdc7f13e6,112,154,RGB,True,,044df27dd85966107c5fda9ea9bea026fff2ff68e80e0d3e6e4c45b1dc886eda
data/raw/train_raw/01155_d1245f38-411_M1_B2__35_.jpg,train_raw,M1,eyes,B,2,obviously_present,pain,M1_B2 (35).jpg,d1245f38-411b-4307-99b8-3d27fb45574d,93e722b581fabc9166f8fc2790a4003e33a28c9c6f64c4425213957fdc7f13e6,112,154,RGB,True,,044df27dd85966107c5fda9ea9bea026fff2ff68e80e0d3e6e4c45b1dc886eda
data/raw/train_raw/00111_1cd771d7-4ae_M1_A0__2_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (2).jpg,1cd771d7-4ae3-4176-9677-8571dbaa5603,89fc9ac204d8df6c00c384949dbef3c550afc3a31f6d033e324ac5f517bce9d2,172,200,RGB,True,,04916ef9a6e48389a082ce5a576e3d2831446fa549fcc90f35ea1809304a072b
data/raw/train_raw/00222_9d9e504f-f7a_M1_A0__3_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (3).jpg,9d9e504f-f7af-4803-9494-1de902b483c6,89fc9ac204d8df6c00c384949dbef3c550afc3a31f6d033e324ac5f517bce9d2,172,200,RGB,True,,04916ef9a6e48389a082ce5a576e3d2831446fa549fcc90f35ea1809304a072b
data/raw/train_raw/00154_77d5cf6b-a9b_M1_A0__238_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (238).jpg,77d5cf6b-a9bf-48ce-8963-1a610756d408,471e7839c373766fe83807f8f6732b5d54075326126fe18c78a833b03346beb4,121,186,RGB,True,,04a6d75af29f2418a52f51d3bba4462f136ceec6829473465cc54f826ed370b5
data/raw/train_raw/00155_0586f8f3-650_M1_A0__239_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (239).jpg,0586f8f3-6500-4452-bff3-016bf58e7b52,471e7839c373766fe83807f8f6732b5d54075326126fe18c78a833b03346beb4,121,186,RGB,True,,04a6d75af29f2418a52f51d3bba4462f136ceec6829473465cc54f826ed370b5
data/raw/train_raw/00730_14a72eb0-1fc_M1_B0__122_.jpg,train_raw,M1,eyes,B,0,not_present,no_pain,M1_B0 (122).jpg,14a72eb0-1fc8-4ffb-8da1-d6ea7d2798cf,7d411b0f2659b78071829c751ed5237c6f6cc7c964615581a423264b8088c0d3,115,190,RGB,True,,04d3c7249c69c57a79163b18a6dcf391cdceb8d9674bce4f5a3b9105ac902ab3
data/raw/train_raw/00731_8f43bc8b-688_M1_B0__123_.jpg,train_raw,M1,eyes,B,0,not_present,no_pain,M1_B0 (123).jpg,8f43bc8b-688f-4361-98e8-fc1071a5ff5e,7d411b0f2659b78071829c751ed5237c6f6cc7c964615581a423264b8088c0d3,115,190,RGB,True,,04d3c7249c69c57a79163b18a6dcf391cdceb8d9674bce4f5a3b9105ac902ab3
data/raw/train_raw/01517_fb8fd051-29e_M1_C1__114_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (114).jpg,fb8fd051-29e2-4a4a-8e88-995342e5dfda,1c187d8d81803830c9de81638c31c8e32b67a1c32579018ebdb98269a1abd875,119,137,RGB,True,,051223b4e44175889057e4d9fc66ce8c8a11ac90a2dec2b71541c5e8c86d049e
data/raw/train_raw/01518_700cce2b-45e_M1_C1__115_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (115).jpg,700cce2b-45e5-42fd-b6b1-e068d65ac5e1,1c187d8d81803830c9de81638c31c8e32b67a1c32579018ebdb98269a1abd875,119,137,RGB,True,,051223b4e44175889057e4d9fc66ce8c8a11ac90a2dec2b71541c5e8c86d049e
data/raw/train_raw/00365_35a2cb0b-f29_M1_A0__428_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (428).jpg,35a2cb0b-f292-4a0c-a3e0-cdae22e07013,8b0d61747d98207e6735cac759df176240d02ae5943214cf09c3092af8398397,125,206,RGB,True,,0515270d47e54885936721bf741c5e1005234bcb7a18bd8ec4b33fa7222940ce
data/raw/train_raw/00366_0086a93b-5af_M1_A0__429_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (429).jpg,0086a93b-5afa-45a8-a5c3-8775316de7c1,8b0d61747d98207e6735cac759df176240d02ae5943214cf09c3092af8398397,125,206,RGB,True,,0515270d47e54885936721bf741c5e1005234bcb7a18bd8ec4b33fa7222940ce
data/raw/train_raw/01090_841a8e91-dd3_M1_B1__78_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (78).jpg,841a8e91-dd39-48a0-8be7-57b0763e23de,41efddcc97db0497a5ceec36fb169b28dfd8dd6a682e4d35021fdbefa013cd0c,106,136,RGB,True,,052fa4e9f72e6a4cbffcfe91bca158b9589b378bbf670ce86f85b9b467d5e06c
data/raw/train_raw/01091_32ca7c65-dba_M1_B1__79_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (79).jpg,32ca7c65-dba7-4773-84a9-aacaf293ec7b,41efddcc97db0497a5ceec36fb169b28dfd8dd6a682e4d35021fdbefa013cd0c,106,136,RGB,True,,052fa4e9f72e6a4cbffcfe91bca158b9589b378bbf670ce86f85b9b467d5e06c
data/raw/train_raw/01667_8cf6f047-273_M1_C1__84_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (84).jpg,8cf6f047-2737-47d7-bf7a-22bd71427719,b43e4e365ea4921b5cbec3fbf60f704c342c17830a25f9cbdf56c86776fedd4d,119,130,RGB,True,,05cb6371917df053c69e9bd9f1ce3001b057f99c0bb16feb4cfbaea12e7665fa
data/raw/train_raw/01668_9a8724a3-a2e_M1_C1__85_.jpg,train_raw,M1,mouth_nostrils,C,1,moderately_present,pain,M1_C1 (85).jpg,9a8724a3-a2e6-44fe-a8da-a2bbd2e542ba,b43e4e365ea4921b5cbec3fbf60f704c342c17830a25f9cbdf56c86776fedd4d,119,130,RGB,True,,05cb6371917df053c69e9bd9f1ce3001b057f99c0bb16feb4cfbaea12e7665fa
data/raw/train_raw/00666_2e58ab26-af0_M1_A2__20_.jpg,train_raw,M1,ears,A,2,obviously_present,pain,M1_A2 (20).jpg,2e58ab26-af09-44ab-98fc-aea884cc7b7d,f10e3fa92e8cd3d82389113d5632d527ba9262a5407efedd0193dc6bee735a30,153,202,RGB,True,,05f4dda857d4f36b8cc539cf1c4e60d858f16dea15f3295f549a155ad04a2b83
data/raw/train_raw/00667_ec912701-093_M1_A2__21_.jpg,train_raw,M1,ears,A,2,obviously_present,pain,M1_A2 (21).jpg,ec912701-0930-46bd-969b-d2b8223c9a99,f10e3fa92e8cd3d82389113d5632d527ba9262a5407efedd0193dc6bee735a30,153,202,RGB,True,,05f4dda857d4f36b8cc539cf1c4e60d858f16dea15f3295f549a155ad04a2b83
data/raw/train_raw/01978_b1abfd3e-9f9_M2_A0__64_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (64).jpg,b1abfd3e-9f97-4b48-a366-2555561b1420,c880f267a056af4da87219a3e9da6dd112ee52c4ee78c84166aab5030c082b84,185,221,RGB,True,,066f53dc341a4e5e81bf9b48372489124211353986fce6515eda4a45ee8e8739
data/raw/train_raw/01979_4e82eceb-ecf_M2_A0__65_.jpg,train_raw,M2,ears,A,0,not_present,no_pain,M2_A0 (65).jpg,4e82eceb-ecf9-4ee1-b3f0-b97e8a57f945,c880f267a056af4da87219a3e9da6dd112ee52c4ee78c84166aab5030c082b84,185,221,RGB,True,,066f53dc341a4e5e81bf9b48372489124211353986fce6515eda4a45ee8e8739
data/raw/train_raw/00568_c82fe307-798_M1_A1__1_.jpg,train_raw,M1,ears,A,1,moderately_present,pain,M1_A1 (1).jpg,c82fe307-798a-4ed5-8ae5-86962fc1283f,f1092e727cdfc3012ebf4967603a486c759311738b4cb98638c1f720d3409728,184,158,RGB,True,,06b7c768a9fac29c9e9f14460937b533ee9125103eb39d953b6f9012dacf5683
data/raw/train_raw/00652_0984d27f-f2a_M1_A1__86_.jpg,train_raw,M1,ears,A,1,moderately_present,pain,M1_A1 (86).jpg,0984d27f-f2a6-4e1f-b8f4-7c08775c78b6,f1092e727cdfc3012ebf4967603a486c759311738b4cb98638c1f720d3409728,184,158,RGB,True,,06b7c768a9fac29c9e9f14460937b533ee9125103eb39d953b6f9012dacf5683
data/raw/train_raw/01242_6aa15d75-73a_M1_C0__113_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (113).jpg,6aa15d75-73a8-418d-b29e-43f7e8f91896,da5ed22306d48456aae779d92f4329dc9e8cf5d4dbed3de5aec1b636dc621b2f,92,103,RGB,True,,06ef11307d044c5616b4de59717845ea19ed1b9a223766927d318c563bb77b54
data/raw/train_raw/01243_a3ee0a5d-bd8_M1_C0__114_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (114).jpg,a3ee0a5d-bd8a-47d2-ab6c-ae86a132508e,da5ed22306d48456aae779d92f4329dc9e8cf5d4dbed3de5aec1b636dc621b2f,92,103,RGB,True,,06ef11307d044c5616b4de59717845ea19ed1b9a223766927d318c563bb77b54
data/raw/train_raw/01689_92dfd9c8-57e_M1_C2__14_.jpg,train_raw,M1,mouth_nostrils,C,2,obviously_present,pain,M1_C2 (14).jpg,92dfd9c8-57e5-4170-a0dd-438cca6fb6e2,b4e3f126b05aa9a93fc43b5859629682e05cd7df586aa4975c10d30a027b6a05,145,156,RGB,True,,070e9d8332c7945a60bed8c36bcdedafa444d44163ad82e71b7ccc52862fdf1b
data/raw/train_raw/01690_ee030770-0a8_M1_C2__15_.jpg,train_raw,M1,mouth_nostrils,C,2,obviously_present,pain,M1_C2 (15).jpg,ee030770-0a82-4c09-95e4-a5289d93180a,b4e3f126b05aa9a93fc43b5859629682e05cd7df586aa4975c10d30a027b6a05,145,156,RGB,True,,070e9d8332c7945a60bed8c36bcdedafa444d44163ad82e71b7ccc52862fdf1b
data/raw/train_raw/01399_089903bf-8ea_M1_C0__255_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (255).jpg,089903bf-8eab-4381-98c9-d5944b597ac9,dedb7dfdb950347537c3e22e96e2ed83d15e86ee5d9ed32a6d52b67b9dbacd76,125,133,RGB,True,,074ab5dde526fceefe420f5970f736377a58b1f7744da2d36c93a6db7791a403
data/raw/train_raw/01400_c6146aa5-7cb_M1_C0__256_.jpg,train_raw,M1,mouth_nostrils,C,0,not_present,no_pain,M1_C0 (256).jpg,c6146aa5-7cb3-4237-a2a2-a778709a55d3,dedb7dfdb950347537c3e22e96e2ed83d15e86ee5d9ed32a6d52b67b9dbacd76,125,133,RGB,True,,074ab5dde526fceefe420f5970f736377a58b1f7744da2d36c93a6db7791a403
data/raw/train_raw/00383_d026a27c-128_M1_A0__444_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (444).jpg,d026a27c-1289-48fd-8765-2e6edbc72eab,093218ce8c7f8f72307918494da6f1e9ef43497f8f5726832b1ffa2eee481103,124,271,RGB,True,,076370059c4853b8b86594939fe9e475d90b8896a2d466d45c30e4b63ba5a400
data/raw/train_raw/00384_46319a55-bf2_M1_A0__445_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (445).jpg,46319a55-bf21-4001-9492-290703665869,093218ce8c7f8f72307918494da6f1e9ef43497f8f5726832b1ffa2eee481103,124,271,RGB,True,,076370059c4853b8b86594939fe9e475d90b8896a2d466d45c30e4b63ba5a400
data/raw/train_raw/00472_97d4ca2c-877_M1_A0__524_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (524).jpg,97d4ca2c-877f-4443-a6a8-58e98c2f601a,1af5a9f756700fb065d6828789039af3f3f13d97aa7302e212013f2f4921aafb,206,192,RGB,True,,0783c10212a3da940c289998a3f8fd9e6f9180f5ac8b8e25b3e33f4c0b7f2549
data/raw/train_raw/00473_679cc1b0-f22_M1_A0__525_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (525).jpg,679cc1b0-f22b-471e-ac46-22168417bdb6,1af5a9f756700fb065d6828789039af3f3f13d97aa7302e212013f2f4921aafb,206,192,RGB,True,,0783c10212a3da940c289998a3f8fd9e6f9180f5ac8b8e25b3e33f4c0b7f2549
data/raw/train_raw/00973_0efd790c-6c0_M1_B1__136_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (136).jpg,0efd790c-6c09-4116-aff6-62cd65d5aa12,4538ae58ab8745b23568158886afd1459ef03555b37b61d3cffb682e0e3d6aff,147,191,RGB,True,,079f77ea970e8eb04ca4513d0c1f5ee742ecade61045419d39661fe52ab70e5d
data/raw/train_raw/00974_71d49bbe-98d_M1_B1__137_.jpg,train_raw,M1,eyes,B,1,moderately_present,pain,M1_B1 (137).jpg,71d49bbe-98d6-4465-a9bf-f3a4f4b42db1,4538ae58ab8745b23568158886afd1459ef03555b37b61d3cffb682e0e3d6aff,147,191,RGB,True,,079f77ea970e8eb04ca4513d0c1f5ee742ecade61045419d39661fe52ab70e5d
data/raw/train_raw/00378_00cf4f38-937_M1_A0__44_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (44).jpg,00cf4f38-937c-4047-bd6e-891c342bb99d,86ae5e925b0c7c35caa2abbeec5439aeb05de5fda0bf2b2ccc1aa06631ca4f30,212,239,RGB,True,,07ddb6f243b70cf55a3ebb448c659fa03bd3f62f27bb068e13bc5b08cde3ab96
data/raw/train_raw/00389_d7539896-f80_M1_A0__45_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (45).jpg,d7539896-f805-4d8a-b2fb-0d4ec2bba5de,86ae5e925b0c7c35caa2abbeec5439aeb05de5fda0bf2b2ccc1aa06631ca4f30,212,239,RGB,True,,07ddb6f243b70cf55a3ebb448c659fa03bd3f62f27bb068e13bc5b08cde3ab96
data/raw/train_raw/00333_d9c612d4-83a_M1_A0__4_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (4).jpg,d9c612d4-83ae-495d-91b1-661a97c0aa71,cda1a90fcef91bf69912db42e01a4169df2f2b73b4bd7b1d5343925a178aedb9,187,295,RGB,True,,07f485858d632384331f8a73091c2c3e48e7d06b51c41424ca5927926494b11d
data/raw/train_raw/00444_77214011-6d2_M1_A0__5_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (5).jpg,77214011-6d27-4a51-bb79-f1ce887d7f06,cda1a90fcef91bf69912db42e01a4169df2f2b73b4bd7b1d5343925a178aedb9,187,295,RGB,True,,07f485858d632384331f8a73091c2c3e48e7d06b51c41424ca5927926494b11d
data/raw/train_raw/00205_bc19f14f-853_M1_A0__284_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (284).jpg,bc19f14f-8533-4721-ab29-3d84eca606fb,04f2e9623c3d7734e6bd6d585af13608dcdfa4d60a6d933acabfb4306d2cc099,158,225,RGB,True,,08145629bf6a8cb8fa9c5aef1f813c51af2301b585ab71439508f44291d3458b
data/raw/train_raw/00206_3ea13ca8-3c3_M1_A0__285_.jpg,train_raw,M1,ears,A,0,not_present,no_pain,M1_A0 (285).jpg,3ea13ca8-3c38-42ee-8974-6b608bbee248,04f2e9623c3d7734e6bd6d585af13608dcdfa4d60a6d933acabfb4306d2cc099,158,225,RGB,True,,08145629bf6a8cb8fa9c5aef1f813c51af2301b585ab71439508f44291d3458b
data/raw/train_raw/00659_4986c6db-473_M1_A2__14_.jpg,train_raw,M1,ears,A,2,obviously_present,pain,M1_A2 (14).jpg,4986c6db-4732-4867-91ff-45c4658b254f,9eb1464c7112ba97e4cfce6b3c4262a48c835b2e083fdc1db76dd86ed9b5de2f,169,245,RGB,True,,089f80bb923d44fad1fde68ebc1368e864e90f935ccc291c6cd1abfcde66bd3b
